variable,class,n_missing,n_unique,examples
Title,character,0,103,"Animal Exposure Model for Mapping Crimean-Congo Hemorrhagic Fever Virus Emergence Risk, Antibodies to haemorrhagic fever viruses and to selected arboviruses in monkeys from the Central African Republic, Antibodies to hemorrhagic fever viruses in domestic livestock in Niger: Rift Valley Fever and Crimean-Congo Hemorrhagic Fever"
First author,character,0,98,"Sara Baz-Flores, Christian C. Mathiot, Jeffrey C. Mariner"
Year of publication,numeric,0,29,"2024, 1990, 1995"
Study period,character,0,107,"12/2015-02/2017, 10/1988-03/1989, 1985"
Data timing,character,0,3,"Prospective, Retrospective, Not reported"
UNSD region,character,0,4,"Europe, Africa, Asia"
UNSD sub-region,character,0,9,"Southern Europe, Sub-Saharan Africa, Southern Asia"
Study (country),character,0,44,"Spain, Central African Republic, Niger"
Study (region),character,0,115,"Andalusia, 2 main phytogeographical zones (the Berberati primary forest area, the savanna area from Bangui to Ndele), Niamey"
Latitude (N/S),character,0,29,"36ยบN-38ยบ60'N, Not reported, 12.12N-16.4N"
Longitude (E/W),character,0,29,"1ยบ75'W-7ยบ25'W, Not reported, 27.00-32.20E"
Livestock or wild,character,0,2,"Livestock, Wild, NA"
Imported,character,0,4,"No, Not reported, Mixed"
Sampling method,character,0,10,"Random, Not reported, Convenience"
Host species,character,0,35,"Sheep, Goat, Monkey"
Numerator,numeric,0,122,"36, 48, 6"
Denominator,numeric,0,224,"1220, 178, 732"
Sex,character,0,4,"Not reported, Female, Male"
Age (months),character,0,20,"Not reported, 12<, Adult"
Diagnostic method,character,0,19,"Double-antigen ELISA, Indirect IFA, ELISA"
Assay detail,character,0,9,"Commercial, Not reported, In-house, Commercial (ELISA)
Commercial (IFA)"
Outcome measure,character,0,3,"Antibodies, IgG, IgG, IgM"
Outcome definition,character,0,49,"Manufacturer's instructions, Not reported, A cutoff value was obtained from a panel of 5 normal sera by summing the mean and 3 standard deviations of their adjusted ODs; if an individual serum had an OD exceeding this cutoff value, it was considered positive."
Risk of bias,character,0,3,"Low, Moderate, High"
